algorithm,iteration,energy_consumption_joules,execution_time_seconds,watts
dynamosa-1337,0,12037.625139711365,938.45557,12.827059185882785
dynamosa-1337,1,12029.701240021703,939.70544,12.801566031182817
dynamosa-1337,2,11946.031014062894,940.4871,12.701961583590984
dynamosa-1337,3,11941.99662319371,938.4387,12.725388054855058
dynamosa-1337,4,11923.368822130149,939.0567,12.697176669023445
dynamosa-1337,5,11933.937896515816,939.1511,12.707154255066959
dynamosa-1337,6,12022.21056452178,939.81946,12.79204259562978
dynamosa-1337,7,11877.964569615395,937.9488,12.663766475969044
dynamosa-1337,8,11989.277383724186,940.03503,12.754075115396695
dynamosa-1337,9,11879.732756336216,937.8396,12.667126400224745
dynamosa-1337,10,11853.010958662962,937.15436,12.64787474142783
dynamosa-1337,11,11970.597393823613,937.7537,12.765182791412727
dynamosa-1337,12,11855.517959237142,937.7803,12.642106002053085
dynamosa-1337,13,11861.925456801424,938.2376,12.642773490213377
dynamosa-42,0,11207.509359417902,878.33624,12.759930478808323
dynamosa-42,1,11316.698696707732,879.50165,12.867171649658339
dynamosa-42,2,11262.601025504147,880.0428,12.797787818392635
dynamosa-42,3,11186.532829408168,880.79407,12.700508791354792
dynamosa-42,4,11166.058364498173,879.03186,12.702677653228829
dynamosa-42,5,11266.546561203959,879.095,12.816073986547481
dynamosa-42,6,11199.760060127977,879.99854,12.727021183612392
dynamosa-42,7,11104.311022105208,878.5375,12.639541308259702
dynamosa-42,8,11133.741124709151,879.01013,12.666226184115935
dynamosa-42,9,11104.7615683546,878.6728,12.638107801168534
dynamosa-42,10,11217.620210867832,879.7726,12.750590562683847
dynamosa-42,11,11219.401108785649,879.6936,12.753760069171413
dynamosa-42,12,11133.043647007944,880.28503,12.647089598931318
dynamosa-42,13,11094.594517742164,878.4275,12.630062831300435
mio-1337,0,9488.199197918857,715.9108,13.253325970105294
mio-1337,1,9466.95372073459,714.3306,13.25290239664182
mio-1337,2,9598.958385096303,718.4188,13.361229390289205
mio-1337,3,9580.606358270647,718.5476,13.333293936644763
mio-1337,4,9739.739961593668,715.3436,13.615470889225357
mio-1337,5,9474.264078626678,713.3126,13.282064663692578
mio-1337,6,9588.68062802031,719.02673,13.335638618080736
mio-1337,7,9453.305743837296,717.66266,13.172352792936582
mio-1337,8,9473.563106166857,713.9557,13.26911894696948
mio-1337,9,9414.406358019798,715.9738,13.149093385847078
mio-1337,10,9443.944734720262,718.0826,13.151613386426941
mio-1337,11,9356.721116800303,713.08374,13.121489934408409
mio-1337,12,9741.17396654985,713.7305,13.64825233971345
mio-1337,13,9491.613530579563,714.7748,13.279166431972088
mio-42,0,9430.863271532966,713.1235,13.224726532687487
mio-42,1,9515.627673311263,712.8496,13.348717139367494
mio-42,2,9445.645599610294,714.61914,13.217733854162224
mio-42,3,9589.918906236646,714.156,13.42832505256085
mio-42,4,9444.899183276179,714.55853,13.21781041963935
mio-42,5,9596.607806616781,712.86615,13.46200518374562
mio-42,6,9415.962033903137,712.78455,13.210109610124318
mio-42,7,9937.172172875367,714.38434,13.910120388242788
mio-42,8,9480.464513395042,714.1759,13.2746911697735
mio-42,9,9479.721896860137,713.32794,13.2894302399821
mio-42,10,9468.520352882348,713.53625,13.269851886126805
mio-42,11,9392.98303668215,713.98914,13.155638525093183
mio-42,12,9359.007150882679,713.1145,13.124129646617309
mio-42,13,9471.952190063486,712.8915,13.286667312015204
mosa-1337,0,11975.960435672761,938.0532,12.766824350338299
mosa-1337,1,11954.870580949788,939.1811,12.729036584051562
mosa-1337,2,11984.000654206297,940.53217,12.74172328864232
mosa-1337,3,11983.747729461653,939.38336,12.75703641318668
mosa-1337,4,12107.446267601003,938.98615,12.894169171292893
mosa-1337,5,11969.511390520081,938.3316,12.756163589204586
mosa-1337,6,11965.839290167789,941.4746,12.709678296331933
mosa-1337,7,11805.906426537522,936.9271,12.600667038596196
mosa-1337,8,11864.130482995011,937.996,12.648380678590327
mosa-1337,9,11936.374304921183,937.57043,12.73117615806333
mosa-1337,10,11874.359897741328,938.4855,12.652683390144363
mosa-1337,11,11874.483790225955,938.9154,12.647022074859946
mosa-1337,12,11852.025126587852,938.46405,12.62917330353555
mosa-1337,13,11841.312067971701,938.0664,12.623106496482233
mosa-42,0,11150.27042590235,878.3133,12.69509459312793
mosa-42,1,11206.094794610997,880.52454,12.726612701346173
mosa-42,2,11351.792972645766,879.1757,12.911859338976004
mosa-42,3,11233.351043289143,879.95966,12.765756833999804
mosa-42,4,11270.746842106859,878.9163,12.823458663932913
mosa-42,5,11201.367571587572,880.2486,12.725231907880993
mosa-42,6,11391.497691012393,879.8065,12.947730769222996
mosa-42,7,11215.695208630565,880.1765,12.742552441050817
mosa-42,8,11111.765620622595,879.3517,12.636315618224874
mosa-42,9,11402.919333141335,880.9861,12.943358962350638
mosa-42,10,11119.443966120747,879.8002,12.638601316663427
mosa-42,11,11218.155231853514,879.78284,12.75105028401499
mosa-42,12,11117.328556411681,878.6168,12.65321646070469
mosa-42,13,11285.764968840633,882.0945,12.794281076279958
