iteration,energy_consumption_joules,execution_time_seconds,watts
0,11207.509359417902,878.33624,12.759930478808323
1,11316.698696707732,879.50165,12.867171649658339
2,11262.601025504147,880.0428,12.797787818392635
3,11186.532829408168,880.79407,12.700508791354792
4,11166.058364498173,879.03186,12.702677653228829
5,11266.546561203959,879.095,12.816073986547481
6,11199.760060127977,879.99854,12.727021183612392
7,11104.311022105208,878.5375,12.639541308259702
8,11133.741124709151,879.01013,12.666226184115935
9,11104.7615683546,878.6728,12.638107801168534
10,11217.620210867832,879.7726,12.750590562683847
11,11219.401108785649,879.6936,12.753760069171413
12,11133.043647007944,880.28503,12.647089598931318
13,11094.594517742164,878.4275,12.630062831300435
