iteration,energy_consumption_joules,execution_time_seconds,watts
0,9488.199197918857,715.9108,13.253325970105294
1,9466.95372073459,714.3306,13.25290239664182
2,9598.958385096303,718.4188,13.361229390289205
3,9580.606358270647,718.5476,13.333293936644763
4,9739.739961593668,715.3436,13.615470889225357
5,9474.264078626678,713.3126,13.282064663692578
6,9588.68062802031,719.02673,13.335638618080736
7,9453.305743837296,717.66266,13.172352792936582
8,9473.563106166857,713.9557,13.26911894696948
9,9414.406358019798,715.9738,13.149093385847078
10,9443.944734720262,718.0826,13.151613386426941
11,9356.721116800303,713.08374,13.121489934408409
12,9741.17396654985,713.7305,13.64825233971345
13,9491.613530579563,714.7748,13.279166431972088
