iteration,energy_consumption_joules,execution_time_seconds,watts
0,11150.27042590235,878.3133,12.69509459312793
1,11206.094794610997,880.52454,12.726612701346173
2,11351.792972645766,879.1757,12.911859338976004
3,11233.351043289143,879.95966,12.765756833999804
4,11270.746842106859,878.9163,12.823458663932913
5,11201.367571587572,880.2486,12.725231907880993
6,11391.497691012393,879.8065,12.947730769222996
7,11215.695208630565,880.1765,12.742552441050817
8,11111.765620622595,879.3517,12.636315618224874
9,11402.919333141335,880.9861,12.943358962350638
10,11119.443966120747,879.8002,12.638601316663427
11,11218.155231853514,879.78284,12.75105028401499
12,11117.328556411681,878.6168,12.65321646070469
13,11285.764968840633,882.0945,12.794281076279958
