Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743493917953,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63676071166992,59.263694763183594,63.23455047607422,61.75590133666992,60.546295166015625,61.04041290283203,58.48261260986328,58.83154296875,57.73687744140625,59.06208801269531,0,0,0,0,100,0,0,0,0,0,12.77147388458252,17179869184,2147483648,9040855040,577437696
201,1743493917953,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63676071166992,59.263694763183594,63.23455047607422,61.75590133666992,60.546295166015625,61.04041290283203,58.48261260986328,58.83154296875,57.73687744140625,59.06208801269531,50,0,0,0,100,0,0,0,0,0,12.77147388458252,17179869184,2147483648,9040855040,577437696
205,1743493918155,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63676071166992,59.263694763183594,63.23455047607422,61.75590133666992,60.546295166015625,61.04041290283203,58.48261260986328,58.83154296875,57.73687744140625,59.06208801269531,21.052631378173828,20,0,0,100,0,0,0,0,0,12.0779390335083,17179869184,2147483648,9062203392,577437696
201,1743493918361,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63676071166992,59.263694763183594,63.23455047607422,61.75590133666992,60.546295166015625,61.04041290283203,58.48261260986328,58.83154296875,57.73687744140625,59.06208801269531,9.523809432983398,9.523809432983398,0,4.545454502105713,100,0,0,0,0,0,12.0779390335083,17179869184,2147483648,9062187008,577437696
200,1743493918564,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63676071166992,59.263694763183594,63.23455047607422,61.75590133666992,60.546295166015625,61.04041290283203,58.48261260986328,58.83154296875,57.73687744140625,59.06208801269531,4.761904716491699,0,4.761904716491699,89.47368621826172,14.285715103149414,0,0,0,0,0,12.0779390335083,17179869184,2147483648,9062187008,577437696
200,1743493918764,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.65987777709961,59.50545883178711,62.17768859863281,62.73405075073242,66.61021423339844,64.06669616699219,58.82476043701172,59.08070373535156,58.26466369628906,59.486427307128906,15.789472579956055,15.000000953674316,20,80,5.263157844543457,5,5,0,0,0,12.0779390335083,17179869184,2147483648,9062187008,577437696
200,1743493918966,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.65987777709961,59.50545883178711,62.17768859863281,62.73405075073242,66.61021423339844,64.06669616699219,58.82476043701172,59.08070373535156,58.26466369628906,59.486427307128906,10,10,40,47.619049072265625,30.000001907348633,0,0,0,0,0,12.0779390335083,17179869184,2147483648,9062105088,577437696
200,1743493919167,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.65987777709961,59.50545883178711,62.17768859863281,62.73405075073242,66.61021423339844,64.06669616699219,58.82476043701172,59.08070373535156,58.26466369628906,59.486427307128906,50,50,35,45,25,10.526315689086914,0,0,0,0,11.035616874694824,17179869184,2147483648,9074425856,577437696
200,1743493919368,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.65987777709961,59.50545883178711,62.17768859863281,62.73405075073242,66.61021423339844,64.06669616699219,58.82476043701172,59.08070373535156,58.26466369628906,59.486427307128906,10,10,40,42.105262756347656,19.047618865966797,20,0,0,0,0,11.035616874694824,17179869184,2147483648,9074442240,577437696
208,1743493919569,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.65987777709961,59.50545883178711,62.17768859863281,62.73405075073242,66.61021423339844,64.06669616699219,58.82476043701172,59.08070373535156,58.26466369628906,59.486427307128906,10,5.263157844543457,50,30.000001907348633,26.3157901763916,15.000000953674316,0,0,0,0,11.035616874694824,17179869184,2147483648,9074442240,577437696
200,1743493919778,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.00782775878906,59.664119720458984,65.771484375,66.15309143066406,62.908416748046875,63.26545333862305,59.161617279052734,59.662750244140625,58.215126037597656,59.678436279296875,5,5,57.142860412597656,23.809524536132813,23.809524536132813,13.636363983154297,0,0,0,0,11.035616874694824,17179869184,2147483648,9074442240,577437696
201,1743493919979,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.00782775878906,59.664119720458984,65.771484375,66.15309143066406,62.908416748046875,63.26545333862305,59.161617279052734,59.662750244140625,58.215126037597656,59.678436279296875,14.285715103149414,14.285715103149414,60.000003814697266,40,15.000000953674316,5,0,0,0,0,11.035616874694824,17179869184,2147483648,9074442240,577437696
201,1743493920180,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.00782775878906,59.664119720458984,65.771484375,66.15309143066406,62.908416748046875,63.26545333862305,59.161617279052734,59.662750244140625,58.215126037597656,59.678436279296875,15.789472579956055,15.000000953674316,52.6315803527832,35,20,10,5,0,0,0,12.752902030944824,17179869184,2147483648,9074982912,577437696
201,1743493920382,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.00782775878906,59.664119720458984,65.771484375,66.15309143066406,62.908416748046875,63.26545333862305,59.161617279052734,59.662750244140625,58.215126037597656,59.678436279296875,5.263157844543457,5.263157844543457,52.38095474243164,47.619049072265625,14.285715103149414,10,0,0,0,0,12.752902030944824,17179869184,2147483648,9074999296,577437696
200,1743493920584,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.00782775878906,59.664119720458984,65.771484375,66.15309143066406,62.908416748046875,63.26545333862305,59.161617279052734,59.662750244140625,58.215126037597656,59.678436279296875,10,14.285715103149414,47.36842346191406,42.105262756347656,21.052631378173828,5,0,0,0,0,12.752902030944824,17179869184,2147483648,9075032064,577437696
200,1743493920785,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.295013427734375,59.57785415649414,66.8375015258789,66.09366607666016,62.560089111328125,63.049434661865234,59.09761428833008,59.56784439086914,58.39113235473633,59.556861877441406,10,5.263157844543457,55,35,10,20,0,0,0,0,12.752902030944824,17179869184,2147483648,9075015680,577437696
199,1743493920985,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.295013427734375,59.57785415649414,66.8375015258789,66.09366607666016,62.560089111328125,63.049434661865234,59.09761428833008,59.56784439086914,58.39113235473633,59.556861877441406,10,10,40,30.000001907348633,28.571430206298828,28.571430206298828,0,0,0,0,12.752902030944824,17179869184,2147483648,9075015680,577437696
201,1743493921185,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.295013427734375,59.57785415649414,66.8375015258789,66.09366607666016,62.560089111328125,63.049434661865234,59.09761428833008,59.56784439086914,58.39113235473633,59.556861877441406,10,5.263157844543457,60.000003814697266,35,21.052631378173828,5.263157844543457,0,0,0,0,13.197744369506836,17179869184,2147483648,9075179520,577437696
200,1743493921387,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.295013427734375,59.57785415649414,66.8375015258789,66.09366607666016,62.560089111328125,63.049434661865234,59.09761428833008,59.56784439086914,58.39113235473633,59.556861877441406,10,15.000000953674316,35,40,25,20,4.761904716491699,0,0,0,13.197744369506836,17179869184,2147483648,9075097600,577437696
