Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743463393425,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.01511764526367,59.298072814941406,66.61714172363281,64.80531311035156,62.41356658935547,62.11692428588867,58.55921936035156,59.55898666381836,57.84071350097656,59.02088928222656,0,50,100,0,0,0,0,0,0,0,12.743183135986328,17179869184,2147483648,10664738816,661323776
200,1743463393425,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.01511764526367,59.298072814941406,66.61714172363281,64.80531311035156,62.41356658935547,62.11692428588867,58.55921936035156,59.55898666381836,57.84071350097656,59.02088928222656,0,0,100,0,0,0,0,0,0,0,12.743183135986328,17179869184,2147483648,10664738816,661323776
203,1743463393626,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.2017936706543,59.542606353759766,65.04586029052734,63.92363357543945,61.537452697753906,61.59038162231445,58.65373611450195,59.55107879638672,57.9558219909668,59.199249267578125,5,0,100,5,0,0,0,0,0,0,12.743183135986328,17179869184,2147483648,10664738816,661323776
202,1743463393831,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.2017936706543,59.542606353759766,65.04586029052734,63.92363357543945,61.537452697753906,61.59038162231445,58.65373611450195,59.55107879638672,57.9558219909668,59.199249267578125,28.571430206298828,28.571430206298828,50,0,50,4.761904716491699,0,0,0,0,12.743183135986328,17179869184,2147483648,10664738816,661323776
207,1743463394034,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.2017936706543,59.542606353759766,65.04586029052734,63.92363357543945,61.537452697753906,61.59038162231445,58.65373611450195,59.55107879638672,57.9558219909668,59.199249267578125,5,5,0,0,100,0,0,0,0,0,12.08950424194336,17179869184,2147483648,10667704320,661323776
209,1743463394242,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.2017936706543,59.542606353759766,65.04586029052734,63.92363357543945,61.537452697753906,61.59038162231445,58.65373611450195,59.55107879638672,57.9558219909668,59.199249267578125,10,15.000000953674316,5,28.571430206298828,52.38095474243164,20,0,0,0,0,12.08950424194336,17179869184,2147483648,10667556864,661323776
201,1743463394452,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.2017936706543,59.542606353759766,65.04586029052734,63.92363357543945,61.537452697753906,61.59038162231445,58.65373611450195,59.55107879638672,57.9558219909668,59.199249267578125,9.090909004211426,9.090909004211426,68.18181610107422,33.333335876464844,0,0,0,0,0,0,12.08950424194336,17179869184,2147483648,10667393024,661323776
204,1743463394654,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.30514907836914,59.34988784790039,64.5208511352539,63.34452438354492,65.26754760742188,63.20575714111328,58.2317008972168,59.384361267089844,57.9603157043457,59.315887451171875,0,5,21.052631378173828,31.57894515991211,45,0,0,0,0,0,12.08950424194336,17179869184,2147483648,10667360256,661323776
204,1743463394859,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.30514907836914,59.34988784790039,64.5208511352539,63.34452438354492,65.26754760742188,63.20575714111328,58.2317008972168,59.384361267089844,57.9603157043457,59.315887451171875,40.90909194946289,35,38.095237731933594,52.38095474243164,10,10.526315689086914,4.545454502105713,0,0,0,12.08950424194336,17179869184,2147483648,10668769280,661323776
202,1743463395065,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.30514907836914,59.34988784790039,64.5208511352539,63.34452438354492,65.26754760742188,63.20575714111328,58.2317008972168,59.384361267089844,57.9603157043457,59.315887451171875,10.526315689086914,14.285715103149414,63.6363639831543,9.523809432983398,33.333335876464844,0,0,0,0,0,13.025259017944336,17179869184,2147483648,10672078848,661323776
