Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127209644,4442.15087890625,3600,1,1.075,287.68341064453125,3600,1,1.075,4334.290756225586,3600,1,1.075,846.1126251220703,3000,1,1.075,272.87281799316406,3725,1,1.075,7013.21110534668,3750,0,1.13125,17036.17317199707,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,3.4482758045196533,9.375,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,3.22580623626709,6.25,6.25,3.3333334922790527,6.45161247253418,33574961152,17179865088,4181725184,0
199,1743127209644,4442.153213500977,3750,0,1.13125,287.68341064453125,3750,0,1.13125,4334.290756225586,3750,0,1.13125,846.1126251220703,3750,0,1.13125,272.87281799316406,3750,0,1.13125,7013.211669921875,3750,0,1.13125,17036.19955444336,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,3.4482758045196533,9.375,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,3.22580623626709,6.25,6.25,3.3333334922790527,6.45161247253418,33574961152,17179865088,4181921792,0
200,1743127209844,4442.171630859375,3600,1,1.075,287.6929473876953,3600,1,1.075,4334.314956665039,3600,1,1.075,846.13134765625,3000,1,1.075,272.8823547363281,3000,1,1.075,7013.264312744141,3750,0,1.075,17040.3885345459,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,0,5,0,0,0,0,0,4.761904716491699,0,33574961152,17179865088,4181876736,0
199,1743127210044,4442.171691894531,3600,1,1.0875,287.6935577392578,3600,1,1.0875,4334.3211669921875,3600,1,1.0875,846.1437072753906,3600,1,1.0875,272.88470458984375,3600,1,1.0875,7013.282531738281,3600,1,1.0875,17043.93312072754,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,5,0,0,0,0,0,0,0,0,33574961152,17179865088,4181868544,0
199,1743127210245,4442.266464233398,3600,1,1.0875,287.7684020996094,3600,1,1.0875,4334.425399780273,3600,1,1.0875,846.2430877685547,3600,1,1.0875,272.9746856689453,3600,1,1.0875,7013.3817138671875,3600,1,1.0875,17048.350296020508,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,5,5,0,5,5,5.263157844543457,9.523809432983398,10,5.263157844543457,5,5,5.263157844543457,33574961152,17179865088,4182913024,0
199,1743127210445,4442.296310424805,3600,1,1.075,287.7685852050781,3600,1,1.075,4334.455673217773,3600,1,1.075,846.3194580078125,3600,1,1.075,273.0284881591797,3600,1,1.075,7013.432678222656,3600,1,1.075,17052.689682006836,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,4.761904716491699,0,0,0,0,0,0,0,5,33574961152,17179865088,4182913024,0
199,1743127210645,4442.498245239258,3600,1,1.16875,287.8707275390625,3600,1,1.16875,4334.610687255859,3600,1,1.16875,846.4661712646484,3750,0,1.16875,273.13658142089844,3750,0,1.16875,7013.581207275391,3750,0,1.16875,17057.653259277344,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,5,5,5,0,5,5.263157844543457,0,5,15.000000953674316,5,10.526315689086914,4.761904716491699,33574961152,17179865088,4190523392,0
199,1743127210845,4442.5455322265625,3600,1,1.13125,287.9191589355469,3600,1,1.13125,4334.65950012207,3600,1,1.13125,846.5357513427734,3000,1,1.13125,273.18788146972656,3000,1,1.13125,7014.536376953125,3750,0,1.13125,17062.983779907227,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,9.523809432983398,0,0,0,0,0,0,33574961152,17179865088,4190814208,0
199,1743127211045,4442.555709838867,3600,1,1.11875,287.92933654785156,3600,1,1.11875,4334.681625366211,3600,1,1.11875,846.5865936279297,3000,1,1.11875,273.239013671875,3000,1,1.11875,7015.482360839844,3750,0,1.11875,17068.260848999023,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,4.761904716491699,0,0,0,0,0,0,0,33574961152,17179865088,4191281152,0
199,1743127211245,4442.556442260742,3600,1,1.1625,287.92938232421875,3600,1,1.1625,4334.685211181641,3600,1,1.1625,846.6337585449219,3000,1,1.1625,273.2848815917969,3000,1,1.1625,7016.392044067383,3750,0,1.1625,17073.434631347656,3646,3606,3749,3749,3647,3019,3749,3748,3653,3671,3597,3343,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4199510016,0
