Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1741866644672,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.47308349609375,45.31950759887695,48.05833435058594,48.06644821166992,47.69605255126953,47.80113220214844,44.249656677246094,45.64536666870117,43.46226501464844,45.82856750488281,0,0,33.333335876464844,0,0,100,0,0,0,0,17.796279907226563,17179869184,2147483648,13135134720,1060503552
203,1741866644672,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.47308349609375,45.31950759887695,48.05833435058594,48.06644821166992,47.69605255126953,47.80113220214844,44.249656677246094,45.64536666870117,43.46226501464844,45.82856750488281,0,0,NaN,0,0,100,0,0,0,0,17.796279907226563,17179869184,2147483648,13149487104,1060503552
203,1741866644876,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.47308349609375,45.31950759887695,48.05833435058594,48.06644821166992,47.69605255126953,47.80113220214844,44.249656677246094,45.64536666870117,43.46226501464844,45.82856750488281,28.571430206298828,25,38.095237731933594,14.285715103149414,35,14.285715103149414,20,0,0,0,17.6123046875,17179869184,2147483648,13168640000,1060503552
203,1741866645080,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.47308349609375,45.31950759887695,48.05833435058594,48.06644821166992,47.69605255126953,47.80113220214844,44.249656677246094,45.64536666870117,43.46226501464844,45.82856750488281,31.57894515991211,30.000001907348633,55,5,0,30.000001907348633,28.571430206298828,0,0,0,17.6123046875,17179869184,2147483648,13168640000,1060503552
203,1741866645284,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,47.47308349609375,45.31950759887695,48.05833435058594,48.06644821166992,47.69605255126953,47.80113220214844,44.249656677246094,45.64536666870117,43.46226501464844,45.82856750488281,33.333335876464844,28.571430206298828,55,30.000001907348633,4.761904716491699,4.761904716491699,15.000000953674316,5,0,0,17.6123046875,17179869184,2147483648,13168640000,1060503552
202,1741866645488,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.9316291809082,46.19342803955078,50.68446350097656,49.604942321777344,49.440818786621094,49.90495681762695,45.93292999267578,46.546958923339844,44.04176330566406,46.448089599609375,20,15.789472579956055,33.333335876464844,14.285715103149414,60.000003814697266,0,0,0,0,0,17.6123046875,17179869184,2147483648,13168640000,1060503552
203,1741866645690,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.9316291809082,46.19342803955078,50.68446350097656,49.604942321777344,49.440818786621094,49.90495681762695,45.93292999267578,46.546958923339844,44.04176330566406,46.448089599609375,35,38.095237731933594,25,25,50,0,5,0,0,0,17.6123046875,17179869184,2147483648,13177421824,1060503552
202,1741866645894,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.9316291809082,46.19342803955078,50.68446350097656,49.604942321777344,49.440818786621094,49.90495681762695,45.93292999267578,46.546958923339844,44.04176330566406,46.448089599609375,15.789472579956055,20,35,35,23.809524536132813,10,10,0,0,0,17.607723236083984,17179869184,2147483648,13171359744,1060503552
203,1741866646097,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.9316291809082,46.19342803955078,50.68446350097656,49.604942321777344,49.440818786621094,49.90495681762695,45.93292999267578,46.546958923339844,44.04176330566406,46.448089599609375,23.809524536132813,25,57.142860412597656,15.000000953674316,10,14.285715103149414,5,4.761904716491699,0,0,17.607723236083984,17179869184,2147483648,13171310592,1060503552
201,1741866646301,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,48.9316291809082,46.19342803955078,50.68446350097656,49.604942321777344,49.440818786621094,49.90495681762695,45.93292999267578,46.546958923339844,44.04176330566406,46.448089599609375,14.285715103149414,10.526315689086914,40,19.047618865966797,4.761904716491699,40,18.18181800842285,0,0,0,17.607723236083984,17179869184,2147483648,13171310592,1060503552
202,1741866646502,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,49.39303207397461,46.10358428955078,51.11731719970703,50.48884963989258,50.57555389404297,50.41468811035156,45.500484466552734,46.37624740600586,44.27426528930664,46.816246032714844,31.57894515991211,31.81818199157715,60.000003814697266,15.789472579956055,5,19.047618865966797,5,0,0,4.761904716491699,17.607723236083984,17179869184,2147483648,13171310592,1060503552
