Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127459950,4637.54084777832,3600,1,1.0875,319.0807800292969,3600,1,1.0875,4591.499114990234,3600,1,1.0875,918.7688446044922,3750,0,1.0875,307.95030212402344,3000,1,1.0875,7349.503036499023,3750,0,1.0875,22707.86328125,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,3.3333334922790527,6.45161247253418,0,6.45161247253418,9.67741870880127,3.3333334922790527,12.5,3.22580623626709,3.3333334922790527,3.3333334922790527,6.45161247253418,33574961152,17179865088,4176203776,0
200,1743127459950,4637.540939331055,3750,0,1.16875,319.0808410644531,3750,0,1.16875,4591.49919128418,3750,0,1.16875,918.7717742919922,3750,0,1.16875,307.9503173828125,3000,1,1.16875,7349.50505065918,3750,0,1.16875,22707.88671875,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,3.3333334922790527,6.45161247253418,0,6.45161247253418,9.67741870880127,3.3333334922790527,12.5,3.22580623626709,3.3333334922790527,3.3333334922790527,6.45161247253418,33574961152,17179865088,4176203776,0
200,1743127460150,4637.547317504883,3600,1,1.075,319.08526611328125,3600,1,1.075,4591.516540527344,3600,1,1.075,918.8125762939453,3600,1,1.075,307.9606018066406,3600,1,1.075,7349.535705566406,2880,1,1.075,22711.805297851563,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4176216064,0
199,1743127460350,4637.549240112305,3600,1,1.075,319.0873565673828,3600,1,1.075,4591.525466918945,3600,1,1.075,918.8268127441406,3600,1,1.075,307.9642028808594,3600,1,1.075,7349.545379638672,3750,1,1.075,22714.747924804688,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4176207872,0
199,1743127460550,4637.665069580078,3600,1,1.0875,319.2130889892578,3600,1,1.0875,4591.660140991211,3600,1,1.0875,918.9617004394531,3600,1,1.0875,308.0809783935547,3750,0,1.0875,7349.661926269531,3750,0,1.0875,22719.415756225586,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,5,5.263157844543457,10,5.263157844543457,5,5,10,5,5,10,5.263157844543457,14.285715103149414,33574961152,17179865088,4189302784,0
199,1743127460751,4637.712860107422,3600,1,1.0875,319.2571105957031,3600,1,1.0875,4591.710006713867,3600,1,1.0875,919.0118560791016,3000,1,1.0875,308.14892578125,3750,0,1.0875,7349.69758605957,3750,0,1.0875,22723.767288208008,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4189634560,0
199,1743127460951,4637.861557006836,3750,0,1.13125,319.3880310058594,3750,0,1.13125,4591.8878173828125,3750,0,1.13125,919.1656799316406,3750,0,1.13125,308.2594757080078,3750,0,1.13125,7349.9229736328125,3750,0,1.13125,22728.75944519043,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,10,5,9.523809432983398,14.285715103149414,15.000000953674316,10,4.761904716491699,14.285715103149414,5,10,5,0,33574961152,17179865088,4210241536,0
199,1743127461151,4637.899108886719,3600,1,1.11875,319.4298553466797,3600,1,1.11875,4591.922317504883,3600,1,1.11875,919.2115325927734,3000,1,1.11875,308.3058624267578,3750,0,1.11875,7350.888092041016,3750,0,1.11875,22733.95231628418,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4220997632,0
199,1743127461351,4637.902099609375,3600,1,1.11875,319.43280029296875,3600,1,1.11875,4591.92317199707,3600,1,1.11875,919.2628631591797,3750,0,1.11875,308.35169982910156,3750,0,1.11875,7351.81575012207,3750,0,1.11875,22739.024307250977,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4231168000,0
199,1743127461551,4637.905563354492,3600,1,1.11875,319.43299865722656,3600,1,1.11875,4591.923187255859,3600,1,1.11875,919.3117980957031,3750,0,1.11875,308.3970489501953,3750,0,1.11875,7352.733596801758,3750,0,1.11875,22744.08464050293,3750,3567,550,3749,550,550,3621,3750,3621,550,3693,3749,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4251201536,0
