Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743378412754,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.32301712036133,58.88660430908203,65.38285827636719,64.2191162109375,61.40875244140625,61.26767349243164,58.34688949584961,59.83114242553711,58.16276931762695,59.991546630859375,0,0,0,100,0,0,0,0,0,0,12.725753784179688,17179869184,2147483648,9106079744,494796800
209,1743378412755,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.32301712036133,58.88660430908203,65.38285827636719,64.2191162109375,61.40875244140625,61.26767349243164,58.34688949584961,59.83114242553711,58.16276931762695,59.991546630859375,100,NaN,0,100,0,0,0,0,0,0,12.725753784179688,17179869184,2147483648,9106079744,494796800
201,1743378412965,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.32301712036133,58.88660430908203,65.38285827636719,64.2191162109375,61.40875244140625,61.26767349243164,58.34688949584961,59.83114242553711,58.16276931762695,59.991546630859375,4.761904716491699,9.090909004211426,95.23809814453125,4.545454502105713,0,0,0,0,0,0,12.725753784179688,17179869184,2147483648,9116205056,494796800
209,1743378413167,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.530540466308594,59.225799560546875,65.42405700683594,64.87930297851563,61.650047302246094,61.75314712524414,58.5450325012207,59.877784729003906,58.153751373291016,60.164703369140625,9.523809432983398,5.263157844543457,50,9.523809432983398,35,10.526315689086914,0,0,0,0,12.725753784179688,17179869184,2147483648,9116254208,494796800
203,1743378413376,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.530540466308594,59.225799560546875,65.42405700683594,64.87930297851563,61.650047302246094,61.75314712524414,58.5450325012207,59.877784729003906,58.153751373291016,60.164703369140625,71.42857360839844,68.18181610107422,33.333335876464844,28.571430206298828,19.047618865966797,10,9.523809432983398,0,0,0,12.725753784179688,17179869184,2147483648,9143451648,494796800
203,1743378413581,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.530540466308594,59.225799560546875,65.42405700683594,64.87930297851563,61.650047302246094,61.75314712524414,58.5450325012207,59.877784729003906,58.153751373291016,60.164703369140625,89.47368621826172,90,66.66667175292969,31.57894515991211,20,36.3636360168457,14.285715103149414,5,5,4.761904716491699,11.577369689941406,17179869184,2147483648,9150169088,494796800
209,1743378413785,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.530540466308594,59.225799560546875,65.42405700683594,64.87930297851563,61.650047302246094,61.75314712524414,58.5450325012207,59.877784729003906,58.153751373291016,60.164703369140625,40.90909194946289,15.000000953674316,89.47368621826172,0,14.285715103149414,0,0,0,0,0,11.577369689941406,17179869184,2147483648,9150660608,494796800
200,1743378413995,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.530540466308594,59.225799560546875,65.42405700683594,64.87930297851563,61.650047302246094,61.75314712524414,58.5450325012207,59.877784729003906,58.153751373291016,60.164703369140625,0,9.523809432983398,4.545454502105713,0,100,0,0,0,0,0,11.577369689941406,17179869184,2147483648,9150660608,494796800
210,1743378414196,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.778587341308594,59.75112533569336,64.63102722167969,63.2207145690918,65.58474731445313,63.3545036315918,58.718971252441406,59.91633605957031,58.5030403137207,60.53911590576172,9.523809432983398,0,0,0,100,0,0,0,0,0,11.577369689941406,17179869184,2147483648,9150693376,494796800
202,1743378414407,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.778587341308594,59.75112533569336,64.63102722167969,63.2207145690918,65.58474731445313,63.3545036315918,58.718971252441406,59.91633605957031,58.5030403137207,60.53911590576172,5,9.523809432983398,4.545454502105713,4.545454502105713,23.809524536132813,76.19047546386719,0,0,0,0,11.577369689941406,17179869184,2147483648,9150693376,494796800
202,1743378414609,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.778587341308594,59.75112533569336,64.63102722167969,63.2207145690918,65.58474731445313,63.3545036315918,58.718971252441406,59.91633605957031,58.5030403137207,60.53911590576172,33.333335876464844,30.000001907348633,73.68421173095703,4.761904716491699,28.571430206298828,0,0,0,0,0,13.226114273071289,17179869184,2147483648,9153576960,494796800
209,1743378414812,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.778587341308594,59.75112533569336,64.63102722167969,63.2207145690918,65.58474731445313,63.3545036315918,58.718971252441406,59.91633605957031,58.5030403137207,60.53911590576172,10,15.000000953674316,82.60869598388672,0,19.047618865966797,0,0,0,0,0,13.226114273071289,17179869184,2147483648,9152512000,494796800
202,1743378415022,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.778587341308594,59.75112533569336,64.63102722167969,63.2207145690918,65.58474731445313,63.3545036315918,58.718971252441406,59.91633605957031,58.5030403137207,60.53911590576172,0,4.761904716491699,100,4.761904716491699,0,0,0,0,0,0,13.226114273071289,17179869184,2147483648,9152512000,494796800
208,1743378415225,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.6917839050293,59.2337760925293,67.407470703125,63.6142463684082,64.67169189453125,64.06260681152344,58.466094970703125,59.45953369140625,58.46993637084961,60.86353302001953,4.761904716491699,4.761904716491699,40,0,15.000000953674316,47.619049072265625,0,0,0,0,13.226114273071289,17179869184,2147483648,9152512000,494796800
209,1743378415434,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.6917839050293,59.2337760925293,67.407470703125,63.6142463684082,64.67169189453125,64.06260681152344,58.466094970703125,59.45953369140625,58.46993637084961,60.86353302001953,5,5,23.809524536132813,0,57.142860412597656,15.000000953674316,0,0,0,0,13.226114273071289,17179869184,2147483648,9152512000,494796800
202,1743378415644,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.6917839050293,59.2337760925293,67.407470703125,63.6142463684082,64.67169189453125,64.06260681152344,58.466094970703125,59.45953369140625,58.46993637084961,60.86353302001953,9.090909004211426,9.090909004211426,0,0,0,100,4.545454502105713,0,0,0,12.598150253295898,17179869184,2147483648,9152528384,494796800
208,1743378415847,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.6917839050293,59.2337760925293,67.407470703125,63.6142463684082,64.67169189453125,64.06260681152344,58.466094970703125,59.45953369140625,58.46993637084961,60.86353302001953,0,0,50,33.333335876464844,0,23.809524536132813,0,0,0,0,12.598150253295898,17179869184,2147483648,9152577536,494796800
203,1743378416056,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.6917839050293,59.2337760925293,67.407470703125,63.6142463684082,64.67169189453125,64.06260681152344,58.466094970703125,59.45953369140625,58.46993637084961,60.86353302001953,9.090909004211426,4.761904716491699,0,0,19.047618865966797,85.71428680419922,0,0,0,0,12.598150253295898,17179869184,2147483648,9152610304,494796800
202,1743378416260,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.7289924621582,59.46282958984375,63.487579345703125,62.74055099487305,65.98907470703125,68.77261352539063,58.614234924316406,59.600372314453125,59.27325439453125,61.868621826171875,0,4.761904716491699,15.000000953674316,0,5,80,0,0,0,0,12.598150253295898,17179869184,2147483648,9152610304,494796800
205,1743378416463,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.7289924621582,59.46282958984375,63.487579345703125,62.74055099487305,65.98907470703125,68.77261352539063,58.614234924316406,59.600372314453125,59.27325439453125,61.868621826171875,5,5,19.047618865966797,4.761904716491699,75,9.523809432983398,0,0,0,0,12.598150253295898,17179869184,2147483648,9152561152,494796800
205,1743378416669,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.7289924621582,59.46282958984375,63.487579345703125,62.74055099487305,65.98907470703125,68.77261352539063,58.614234924316406,59.600372314453125,59.27325439453125,61.868621826171875,0,0,30.000001907348633,0,0,70,0,0,0,0,12.853832244873047,17179869184,2147483648,9152610304,494796800
205,1743378416874,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.7289924621582,59.46282958984375,63.487579345703125,62.74055099487305,65.98907470703125,68.77261352539063,58.614234924316406,59.600372314453125,59.27325439453125,61.868621826171875,19.047618865966797,14.285715103149414,28.571430206298828,80,0,0,0,0,0,0,12.853832244873047,17179869184,2147483648,9152839680,494796800
209,1743378417080,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.7289924621582,59.46282958984375,63.487579345703125,62.74055099487305,65.98907470703125,68.77261352539063,58.614234924316406,59.600372314453125,59.27325439453125,61.868621826171875,20,15.000000953674316,70,66.66667175292969,10,22.72727394104004,9.523809432983398,13.636363983154297,0,0,12.853832244873047,17179869184,2147483648,9153445888,494796800
206,1743378417290,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.50146484375,59.32902145385742,65.72040557861328,65.5386734008789,64.75396728515625,65.5530014038086,59.25856399536133,60.42433166503906,58.989295959472656,61.24598693847656,9.090909004211426,9.523809432983398,57.142860412597656,33.333335876464844,36.3636360168457,0,0,0,4.761904716491699,0,12.853832244873047,17179869184,2147483648,9153396736,494796800
206,1743378417496,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.50146484375,59.32902145385742,65.72040557861328,65.5386734008789,64.75396728515625,65.5530014038086,59.25856399536133,60.42433166503906,58.989295959472656,61.24598693847656,15.789472579956055,9.523809432983398,90.47618865966797,9.523809432983398,28.571430206298828,4.761904716491699,0,0,0,0,12.853832244873047,17179869184,2147483648,9153216512,494796800
208,1743378417705,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.50146484375,59.32902145385742,65.72040557861328,65.5386734008789,64.75396728515625,65.5530014038086,59.25856399536133,60.42433166503906,58.989295959472656,61.24598693847656,13.636363983154297,14.285715103149414,80.95238494873047,4.761904716491699,0,0,0,0,0,0,12.80418872833252,17179869184,2147483648,9153232896,494796800
202,1743378417914,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.50146484375,59.32902145385742,65.72040557861328,65.5386734008789,64.75396728515625,65.5530014038086,59.25856399536133,60.42433166503906,58.989295959472656,61.24598693847656,75,75,45,30.000001907348633,28.571430206298828,19.047618865966797,14.285715103149414,4.761904716491699,4.761904716491699,4.545454502105713,12.80418872833252,17179869184,2147483648,9159688192,494796800
204,1743378418117,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.29356384277344,59.342369079589844,65.7769546508789,65.24169921875,63.50238800048828,62.39354705810547,59.0816535949707,60.1942253112793,58.79056167602539,60.488311767578125,38.095237731933594,30.000001907348633,20,76.19047546386719,19.047618865966797,5.263157844543457,5,0,5,0,12.80418872833252,17179869184,2147483648,9141764096,494796800
203,1743378418322,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.29356384277344,59.342369079589844,65.7769546508789,65.24169921875,63.50238800048828,62.39354705810547,59.0816535949707,60.1942253112793,58.79056167602539,60.488311767578125,10,14.285715103149414,0,100,0,4.761904716491699,0,0,0,0,12.80418872833252,17179869184,2147483648,9141551104,494796800
209,1743378418526,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.29356384277344,59.342369079589844,65.7769546508789,65.24169921875,63.50238800048828,62.39354705810547,59.0816535949707,60.1942253112793,58.79056167602539,60.488311767578125,4.761904716491699,9.523809432983398,4.761904716491699,100,0,0,0,0,0,0,12.80418872833252,17179869184,2147483648,9141551104,494796800
209,1743378418736,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.29356384277344,59.342369079589844,65.7769546508789,65.24169921875,63.50238800048828,62.39354705810547,59.0816535949707,60.1942253112793,58.79056167602539,60.488311767578125,4.761904716491699,0,0,100,0,0,0,0,0,0,13.838658332824707,17179869184,2147483648,9141551104,494796800
201,1743378418946,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.29356384277344,59.342369079589844,65.7769546508789,65.24169921875,63.50238800048828,62.39354705810547,59.0816535949707,60.1942253112793,58.79056167602539,60.488311767578125,14.285715103149414,14.285715103149414,0,100,0,0,0,0,0,0,13.838658332824707,17179869184,2147483648,9141551104,494796800
204,1743378419148,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.30314254760742,59.32638168334961,64.27698516845703,70.03251647949219,60.97624969482422,61.01828384399414,59.44403076171875,61.14167022705078,58.5064697265625,59.981727600097656,60.000003814697266,55,5,100,5,0,0,0,0,0,13.838658332824707,17179869184,2147483648,9154641920,494796800
203,1743378419353,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.30314254760742,59.32638168334961,64.27698516845703,70.03251647949219,60.97624969482422,61.01828384399414,59.44403076171875,61.14167022705078,58.5064697265625,59.981727600097656,10,18.18181800842285,0,100,4.761904716491699,0,0,0,0,0,13.838658332824707,17179869184,2147483648,9160556544,494796800
202,1743378419557,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.30314254760742,59.32638168334961,64.27698516845703,70.03251647949219,60.97624969482422,61.01828384399414,59.44403076171875,61.14167022705078,58.5064697265625,59.981727600097656,5,0,0,100,0,0,0,0,0,0,13.838658332824707,17179869184,2147483648,9160556544,494796800
201,1743378419760,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.30314254760742,59.32638168334961,64.27698516845703,70.03251647949219,60.97624969482422,61.01828384399414,59.44403076171875,61.14167022705078,58.5064697265625,59.981727600097656,4.761904716491699,0,19.047618865966797,21.052631378173828,65,0,0,0,0,0,12.862051010131836,17179869184,2147483648,9160589312,494796800
206,1743378419962,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.30314254760742,59.32638168334961,64.27698516845703,70.03251647949219,60.97624969482422,61.01828384399414,59.44403076171875,61.14167022705078,58.5064697265625,59.981727600097656,5,14.285715103149414,85,19.047618865966797,4.761904716491699,0,0,0,0,0,12.862051010131836,17179869184,2147483648,9160671232,494796800
201,1743378420169,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91862106323242,59.25603485107422,63.88086700439453,66.8207015991211,62.683082580566406,61.94054412841797,59.242340087890625,60.41400909423828,58.12675857543945,60.061065673828125,14.285715103149414,9.523809432983398,0,100,0,0,0,0,0,0,12.862051010131836,17179869184,2147483648,9151004672,494796800
201,1743378420371,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91862106323242,59.25603485107422,63.88086700439453,66.8207015991211,62.683082580566406,61.94054412841797,59.242340087890625,60.41400909423828,58.12675857543945,60.061065673828125,35,31.57894515991211,20,38.095237731933594,14.285715103149414,9.523809432983398,4.761904716491699,0,0,0,12.862051010131836,17179869184,2147483648,9174073344,494796800
208,1743378420572,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91862106323242,59.25603485107422,63.88086700439453,66.8207015991211,62.683082580566406,61.94054412841797,59.242340087890625,60.41400909423828,58.12675857543945,60.061065673828125,70,75,50,52.6315803527832,30.000001907348633,35,10.526315689086914,5,0,0,12.599340438842773,17179869184,2147483648,9144500224,494796800
209,1743378420781,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91862106323242,59.25603485107422,63.88086700439453,66.8207015991211,62.683082580566406,61.94054412841797,59.242340087890625,60.41400909423828,58.12675857543945,60.061065673828125,4.761904716491699,4.761904716491699,100,0,0,0,0,0,0,0,12.599340438842773,17179869184,2147483648,9144500224,494796800
209,1743378420991,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.91862106323242,59.25603485107422,63.88086700439453,66.8207015991211,62.683082580566406,61.94054412841797,59.242340087890625,60.41400909423828,58.12675857543945,60.061065673828125,0,9.090909004211426,31.81818199157715,4.761904716491699,4.545454502105713,72.7272720336914,0,0,0,0,12.599340438842773,17179869184,2147483648,9144516608,494796800
201,1743378421201,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.88884353637695,59.44017791748047,64.93568420410156,63.424407958984375,62.85882568359375,64.85498046875,58.74873352050781,59.946983337402344,58.381202697753906,60.8673095703125,9.090909004211426,0,4.761904716491699,0,0,100,0,0,0,0,12.599340438842773,17179869184,2147483648,9135374336,494796800
203,1743378421404,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.88884353637695,59.44017791748047,64.93568420410156,63.424407958984375,62.85882568359375,64.85498046875,58.74873352050781,59.946983337402344,58.381202697753906,60.8673095703125,5,9.523809432983398,5,0,0,100,0,0,0,0,12.599340438842773,17179869184,2147483648,9135292416,494796800
208,1743378421608,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.88884353637695,59.44017791748047,64.93568420410156,63.424407958984375,62.85882568359375,64.85498046875,58.74873352050781,59.946983337402344,58.381202697753906,60.8673095703125,15.789472579956055,14.285715103149414,4.761904716491699,0,0,100,0,0,0,0,12.19864559173584,17179869184,2147483648,9135308800,494796800
209,1743378421817,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.88884353637695,59.44017791748047,64.93568420410156,63.424407958984375,62.85882568359375,64.85498046875,58.74873352050781,59.946983337402344,58.381202697753906,60.8673095703125,27.272727966308594,28.571430206298828,0,36.3636360168457,0,65,0,0,0,0,12.19864559173584,17179869184,2147483648,9136291840,494796800
209,1743378422028,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.88884353637695,59.44017791748047,64.93568420410156,63.424407958984375,62.85882568359375,64.85498046875,58.74873352050781,59.946983337402344,58.381202697753906,60.8673095703125,45,50,4.761904716491699,100,4.761904716491699,0,4.545454502105713,0,0,0,12.19864559173584,17179869184,2147483648,9136340992,494796800
200,1743378422238,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.84775161743164,59.685829162597656,62.67315673828125,64.52662658691406,63.57453155517578,67.23087310791016,58.8057975769043,60.22303009033203,58.72435760498047,61.623878479003906,14.285715103149414,13.636363983154297,0,100,0,0,0,0,0,0,12.19864559173584,17179869184,2147483648,9136111616,494796800
200,1743378422439,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.84775161743164,59.685829162597656,62.67315673828125,64.52662658691406,63.57453155517578,67.23087310791016,58.8057975769043,60.22303009033203,58.72435760498047,61.623878479003906,9.523809432983398,0,4.761904716491699,100,0,0,0,0,0,0,12.19864559173584,17179869184,2147483648,9136111616,494796800
209,1743378422640,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.84775161743164,59.685829162597656,62.67315673828125,64.52662658691406,63.57453155517578,67.23087310791016,58.8057975769043,60.22303009033203,58.72435760498047,61.623878479003906,5,5,0,78.94737243652344,0,23.809524536132813,0,0,0,0,12.46530818939209,17179869184,2147483648,9136111616,494796800
205,1743378422850,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.84775161743164,59.685829162597656,62.67315673828125,64.52662658691406,63.57453155517578,67.23087310791016,58.8057975769043,60.22303009033203,58.72435760498047,61.623878479003906,4.761904716491699,5,85.71428680419922,4.545454502105713,0,14.285715103149414,0,0,0,0,12.46530818939209,17179869184,2147483648,9135931392,494796800
199,1743378423056,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.84775161743164,59.685829162597656,62.67315673828125,64.52662658691406,63.57453155517578,67.23087310791016,58.8057975769043,60.22303009033203,58.72435760498047,61.623878479003906,5,4.761904716491699,9.523809432983398,95,5,0,0,0,0,0,12.46530818939209,17179869184,2147483648,9135931392,494796800
209,1743378423257,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.53353500366211,59.38911819458008,66.24173736572266,70.02660369873047,61.523048400878906,62.130897521972656,59.12605667114258,61.33446502685547,58.32440185546875,60.24375915527344,5,5,36.842105865478516,63.15789031982422,0,0,0,0,0,0,12.46530818939209,17179869184,2147483648,9135947776,494796800
201,1743378423467,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.53353500366211,59.38911819458008,66.24173736572266,70.02660369873047,61.523048400878906,62.130897521972656,59.12605667114258,61.33446502685547,58.32440185546875,60.24375915527344,0,4.761904716491699,85.71428680419922,4.545454502105713,14.285715103149414,0,0,0,0,0,12.46530818939209,17179869184,2147483648,9135964160,494796800
203,1743378423669,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.53353500366211,59.38911819458008,66.24173736572266,70.02660369873047,61.523048400878906,62.130897521972656,59.12605667114258,61.33446502685547,58.32440185546875,60.24375915527344,9.523809432983398,0,52.38095474243164,30.000001907348633,19.047618865966797,0,0,0,0,0,12.776580810546875,17179869184,2147483648,9135718400,494796800
209,1743378423873,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.53353500366211,59.38911819458008,66.24173736572266,70.02660369873047,61.523048400878906,62.130897521972656,59.12605667114258,61.33446502685547,58.32440185546875,60.24375915527344,0,5,100,0,0,0,0,0,0,0,12.776580810546875,17179869184,2147483648,9135718400,494796800
200,1743378424083,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,62.53353500366211,59.38911819458008,66.24173736572266,70.02660369873047,61.523048400878906,62.130897521972656,59.12605667114258,61.33446502685547,58.32440185546875,60.24375915527344,0,4.545454502105713,18.18181800842285,0,28.571430206298828,57.142860412597656,0,0,0,0,12.776580810546875,17179869184,2147483648,9135751168,494796800
205,1743378424284,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.27137756347656,59.157936096191406,67.62113952636719,65.04214477539063,63.396385192871094,63.62424850463867,58.54507827758789,60.12260437011719,58.21536636352539,60.43622589111328,9.523809432983398,0,0,0,0,100,0,0,0,0,12.776580810546875,17179869184,2147483648,9135570944,494796800
200,1743378424489,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,63.27137756347656,59.157936096191406,67.62113952636719,65.04214477539063,63.396385192871094,63.62424850463867,58.54507827758789,60.12260437011719,58.21536636352539,60.43622589111328,0,4.761904716491699,0,0,0,100,0,0,0,0,12.776580810546875,17179869184,2147483648,9135570944,494796800
