Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743490444859,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.599037170410156,55.526004791259766,58.042388916015625,57.86103057861328,57.91902160644531,58.39649200439453,55.4311408996582,56.41423034667969,54.77275085449219,56.41465759277344,0,100,50,0,100,0,0,0,0,0,4.282041072845459,17179869184,2147483648,9291251712,577437696
200,1743490444859,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.599037170410156,55.526004791259766,58.042388916015625,57.86103057861328,57.91902160644531,58.39649200439453,55.4311408996582,56.41423034667969,54.77275085449219,56.41465759277344,100,0,NaN,0,50,0,0,0,0,0,4.282041072845459,17179869184,2147483648,9292644352,577437696
203,1743490445060,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.599037170410156,55.526004791259766,58.042388916015625,57.86103057861328,57.91902160644531,58.39649200439453,55.4311408996582,56.41423034667969,54.77275085449219,56.41465759277344,52.6315803527832,52.6315803527832,100,4.761904716491699,0,0,0,0,0,0,4.132333755493164,17179869184,2147483648,9288974336,577437696
202,1743490445264,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.599037170410156,55.526004791259766,58.042388916015625,57.86103057861328,57.91902160644531,58.39649200439453,55.4311408996582,56.41423034667969,54.77275085449219,56.41465759277344,50,61.904762268066406,50,0,52.38095474243164,0,0,0,0,0,4.132333755493164,17179869184,2147483648,9274769408,577437696
203,1743490445467,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.599037170410156,55.526004791259766,58.042388916015625,57.86103057861328,57.91902160644531,58.39649200439453,55.4311408996582,56.41423034667969,54.77275085449219,56.41465759277344,5,4.761904716491699,4.761904716491699,0,70,30.000001907348633,0,0,0,0,4.132333755493164,17179869184,2147483648,9274834944,577437696
201,1743490445671,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.79804229736328,56.443904876708984,61.873329162597656,60.49601745605469,63.700523376464844,62.72740173339844,56.26191329956055,57.6370849609375,55.74419021606445,57.690711975097656,5,5.263157844543457,0,0,0,100,0,0,0,0,4.132333755493164,17179869184,2147483648,9274851328,577437696
206,1743490445873,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.79804229736328,56.443904876708984,61.873329162597656,60.49601745605469,63.700523376464844,62.72740173339844,56.26191329956055,57.6370849609375,55.74419021606445,57.690711975097656,15.000000953674316,14.285715103149414,0,0,45,55,0,0,0,0,4.132333755493164,17179869184,2147483648,9274851328,577437696
203,1743490446080,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.79804229736328,56.443904876708984,61.873329162597656,60.49601745605469,63.700523376464844,62.72740173339844,56.26191329956055,57.6370849609375,55.74419021606445,57.690711975097656,14.285715103149414,14.285715103149414,45,52.38095474243164,5,0,0,0,0,0,9.762369155883789,17179869184,2147483648,9274851328,577437696
201,1743490446285,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.79804229736328,56.443904876708984,61.873329162597656,60.49601745605469,63.700523376464844,62.72740173339844,56.26191329956055,57.6370849609375,55.74419021606445,57.690711975097656,4.761904716491699,4.761904716491699,28.571430206298828,4.761904716491699,9.523809432983398,65,0,0,0,0,9.762369155883789,17179869184,2147483648,9274851328,577437696
200,1743490446487,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.79804229736328,56.443904876708984,61.873329162597656,60.49601745605469,63.700523376464844,62.72740173339844,56.26191329956055,57.6370849609375,55.74419021606445,57.690711975097656,0,0,73.68421173095703,0,25,0,0,0,0,0,9.762369155883789,17179869184,2147483648,9275523072,577437696
208,1743490446689,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63630676269531,56.632537841796875,62.92964172363281,61.70012664794922,62.5599365234375,63.7195930480957,56.72107696533203,58.0561408996582,56.10307693481445,58.14501953125,9.523809432983398,9.523809432983398,36.3636360168457,5,35,28.571430206298828,0,0,0,0,9.762369155883789,17179869184,2147483648,9275523072,577437696
209,1743490446898,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63630676269531,56.632537841796875,62.92964172363281,61.70012664794922,62.5599365234375,63.7195930480957,56.72107696533203,58.0561408996582,56.10307693481445,58.14501953125,4.761904716491699,4.761904716491699,40,4.545454502105713,60.000003814697266,4.761904716491699,0,0,0,0,9.762369155883789,17179869184,2147483648,9275523072,577437696
209,1743490447108,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63630676269531,56.632537841796875,62.92964172363281,61.70012664794922,62.5599365234375,63.7195930480957,56.72107696533203,58.0561408996582,56.10307693481445,58.14501953125,0,0,38.095237731933594,25,38.095237731933594,0,0,0,0,0,12.599203109741211,17179869184,2147483648,9275506688,577437696
209,1743490447317,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63630676269531,56.632537841796875,62.92964172363281,61.70012664794922,62.5599365234375,63.7195930480957,56.72107696533203,58.0561408996582,56.10307693481445,58.14501953125,4.545454502105713,4.761904716491699,14.285715103149414,61.904762268066406,0,25,0,0,0,0,12.599203109741211,17179869184,2147483648,9275523072,577437696
200,1743490447528,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.63630676269531,56.632537841796875,62.92964172363281,61.70012664794922,62.5599365234375,63.7195930480957,56.72107696533203,58.0561408996582,56.10307693481445,58.14501953125,4.761904716491699,4.761904716491699,42.85714340209961,33.333335876464844,22.72727394104004,0,0,0,0,0,12.599203109741211,17179869184,2147483648,9275523072,577437696
200,1743490447728,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.741310119628906,56.65187072753906,64.22064971923828,63.70429611206055,62.26366424560547,61.222957611083984,56.875511169433594,58.18537139892578,55.6043586730957,57.94203186035156,0,0,90,19.047618865966797,0,0,0,0,0,0,12.599203109741211,17179869184,2147483648,9275424768,577437696
202,1743490447929,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.741310119628906,56.65187072753906,64.22064971923828,63.70429611206055,62.26366424560547,61.222957611083984,56.875511169433594,58.18537139892578,55.6043586730957,57.94203186035156,5,5,65,20,0,19.047618865966797,0,0,0,0,12.599203109741211,17179869184,2147483648,9275424768,577437696
204,1743490448132,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.741310119628906,56.65187072753906,64.22064971923828,63.70429611206055,62.26366424560547,61.222957611083984,56.875511169433594,58.18537139892578,55.6043586730957,57.94203186035156,19.047618865966797,15.000000953674316,20,75,10,15.000000953674316,0,0,0,0,12.52968692779541,17179869184,2147483648,9275424768,577437696
200,1743490448337,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.741310119628906,56.65187072753906,64.22064971923828,63.70429611206055,62.26366424560547,61.222957611083984,56.875511169433594,58.18537139892578,55.6043586730957,57.94203186035156,0,4.761904716491699,38.095237731933594,45,15.000000953674316,13.636363983154297,0,0,0,0,12.52968692779541,17179869184,2147483648,9275424768,577437696
200,1743490448537,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.741310119628906,56.65187072753906,64.22064971923828,63.70429611206055,62.26366424560547,61.222957611083984,56.875511169433594,58.18537139892578,55.6043586730957,57.94203186035156,5,0,0,42.85714340209961,0,57.894737243652344,0,0,0,0,12.52968692779541,17179869184,2147483648,9275441152,577437696
206,1743490448739,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.12895965576172,56.78544998168945,64.4236068725586,64.97391510009766,60.3626708984375,61.367610931396484,57.048828125,58.40580749511719,55.75796890258789,58.259910583496094,5,9.090909004211426,57.142860412597656,5,40,0,0,0,0,0,12.52968692779541,17179869184,2147483648,9275392000,577437696
209,1743490448946,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,61.12895965576172,56.78544998168945,64.4236068725586,64.97391510009766,60.3626708984375,61.367610931396484,57.048828125,58.40580749511719,55.75796890258789,58.259910583496094,14.285715103149414,10,9.523809432983398,5,54.54545593261719,40,4.545454502105713,0,0,0,12.52968692779541,17179869184,2147483648,9275506688,577437696
