Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743071941442,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,56.38923645019531,54.36888122558594,57.278106689453125,57.27975082397461,56.516998291015625,57.43008041381836,53.744781494140625,54.59121322631836,53.86343765258789,54.598358154296875,100,100,71.42857360839844,57.142860412597656,57.142860412597656,33.333335876464844,50,62.5,50,20,15.1333589553833,17179869184,2147483648,12088705024,712769536
203,1743071941442,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,56.38923645019531,54.36888122558594,57.278106689453125,57.27975082397461,56.516998291015625,57.43008041381836,53.744781494140625,54.59121322631836,53.86343765258789,54.598358154296875,NaN,100,NaN,100,0,0,NaN,0,50,0,15.1333589553833,17179869184,2147483648,12290736128,712769536
204,1743071941646,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.11775588989258,56.180335998535156,59.425933837890625,59.81121063232422,59.112571716308594,60.524173736572266,57.294532775878906,57.833797454833984,56.27054214477539,57.0068359375,100,95.23809814453125,52.38095474243164,35,26.3157901763916,30.000001907348633,47.619049072265625,20,25,9.090909004211426,15.1333589553833,17179869184,2147483648,12290736128,712769536
202,1743071941851,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.11775588989258,56.180335998535156,59.425933837890625,59.81121063232422,59.112571716308594,60.524173736572266,57.294532775878906,57.833797454833984,56.27054214477539,57.0068359375,85.71428680419922,85,30.000001907348633,33.333335876464844,45.45454788208008,19.047618865966797,10,0,0,0,15.1333589553833,17179869184,2147483648,12290736128,712769536
204,1743071942054,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.11775588989258,56.180335998535156,59.425933837890625,59.81121063232422,59.112571716308594,60.524173736572266,57.294532775878906,57.833797454833984,56.27054214477539,57.0068359375,68.42105102539063,70,31.57894515991211,50,15.789472579956055,20,19.047618865966797,0,0,0,17.743507385253906,17179869184,2147483648,12069306368,712769536
204,1743071942260,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.11775588989258,56.180335998535156,59.425933837890625,59.81121063232422,59.112571716308594,60.524173736572266,57.294532775878906,57.833797454833984,56.27054214477539,57.0068359375,76.19047546386719,75,40.90909194946289,35,28.571430206298828,33.333335876464844,35,0,0,0,17.743507385253906,17179869184,2147483648,12046827520,712769536
201,1743071942465,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,58.11775588989258,56.180335998535156,59.425933837890625,59.81121063232422,59.112571716308594,60.524173736572266,57.294532775878906,57.833797454833984,56.27054214477539,57.0068359375,65,61.904762268066406,10,23.809524536132813,71.42857360839844,10,0,0,0,0,17.743507385253906,17179869184,2147483648,12046827520,712769536
203,1743071942667,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.25728225708008,56.01423645019531,59.854827880859375,60.64868927001953,61.02094268798828,61.27916717529297,56.43214416503906,56.77910232543945,55.38545227050781,56.226104736328125,70,70,50,60.000003814697266,55,33.333335876464844,35,20,20,25,17.743507385253906,17179869184,2147483648,12046827520,712769536
204,1743071942870,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.25728225708008,56.01423645019531,59.854827880859375,60.64868927001953,61.02094268798828,61.27916717529297,56.43214416503906,56.77910232543945,55.38545227050781,56.226104736328125,100,100,60.000003814697266,55,45,35,55,28.571430206298828,10,5,17.743507385253906,17179869184,2147483648,12046827520,712769536
205,1743071943076,3228,3228,3228,3228,3228,3228,3228,3228,3228,3228,59.25728225708008,56.01423645019531,59.854827880859375,60.64868927001953,61.02094268798828,61.27916717529297,56.43214416503906,56.77910232543945,55.38545227050781,56.226104736328125,100,100,55,45,35,25,30.000001907348633,15.000000953674316,5,0,25.714221954345703,17179869184,2147483648,12451594240,712769536
