Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127232759,4450.875732421875,3750,0,1.0875,292.42523193359375,3750,0,1.0875,4389.313278198242,3750,0,1.0875,854.9161224365234,3750,0,1.0875,277.0950927734375,3750,0,1.0875,7049.11865234375,3750,0,1.0875,17632.80857849121,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,3.22580623626709,3.3333334922790527,3.3333334922790527,10,0,3.3333334922790527,3.3333334922790527,6.45161247253418,3.3333334922790527,6.45161247253418,3.3333334922790527,33574961152,17179865088,4147830784,0
200,1743127232759,4450.875869750977,3750,0,1.16875,292.42530822753906,3750,0,1.16875,4389.316268920898,3750,0,1.16875,854.9170684814453,3750,0,1.16875,277.0957794189453,3750,0,1.16875,7049.119705200195,3750,0,1.16875,17632.834259033203,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,3.22580623626709,3.3333334922790527,3.3333334922790527,10,0,3.3333334922790527,3.3333334922790527,6.45161247253418,3.3333334922790527,6.45161247253418,3.3333334922790527,33574961152,17179865088,4147830784,0
200,1743127232959,4450.87890625,3600,1,1.0875,292.427490234375,3600,1,1.0875,4389.329132080078,3600,1,1.0875,854.9398498535156,3600,1,1.0875,277.11021423339844,3600,1,1.0875,7049.135711669922,3600,1,1.0875,17636.30697631836,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,0,33574961152,17179865088,4147830784,0
199,1743127233159,4450.8875732421875,3000,1,1.0875,292.4276123046875,3000,1,1.0875,4389.3402099609375,3750,0,1.0875,854.9658050537109,3600,1,1.0875,277.1185302734375,3600,1,1.0875,7049.148818969727,3600,1,1.0875,17639.338989257813,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4148047872,0
199,1743127233360,4451.001541137695,3000,1,1.0875,292.53968811035156,3000,1,1.0875,4389.468124389648,3750,0,1.0875,855.0915832519531,3750,0,1.0875,277.2210235595703,3750,0,1.0875,7049.257125854492,3000,1,1.0875,17643.772247314453,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,9.523809432983398,10,14.285715103149414,9.523809432983398,10,10.526315689086914,0,5.263157844543457,14.285715103149414,0,5.263157844543457,5,33574961152,17179865088,4179722240,0
199,1743127233560,4451.070724487305,3750,0,1.0875,292.56211853027344,3000,1,1.0875,4389.506698608398,3750,0,1.0875,855.1366577148438,3750,0,1.0875,277.27020263671875,3750,0,1.0875,7049.30305480957,3750,0,1.0875,17648.142166137695,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,0,0,0,0,0,0,0,5,0,0,0,33574961152,17179865088,4180033536,0
199,1743127233760,4451.2725830078125,3750,0,1.16875,292.66876220703125,3750,0,1.16875,4389.606048583984,3750,0,1.16875,855.2591857910156,3750,0,1.16875,277.38807678222656,3750,0,1.16875,7049.412384033203,3750,0,1.16875,17653.034423828125,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,19.047618865966797,5,0,0,0,9.523809432983398,9.523809432983398,5,0,4.761904716491699,9.090909004211426,5,33574961152,17179865088,4208054272,0
199,1743127233960,4451.328048706055,3000,1,1.16875,292.729248046875,3000,1,1.16875,4390.487655639648,3750,0,1.16875,855.3533935546875,3750,0,1.16875,277.447509765625,3750,0,1.16875,7049.477737426758,3000,1,1.16875,17658.349700927734,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,5,0,0,5,5.263157844543457,4.761904716491699,4.761904716491699,0,0,90,0,33574961152,17179865088,4220502016,0
199,1743127234160,4451.377471923828,3000,1,1.11875,292.7677307128906,3000,1,1.11875,4391.426040649414,3750,0,1.11875,855.3909912109375,3600,1,1.11875,277.4626007080078,3600,1,1.11875,7049.502243041992,3600,1,1.11875,17663.60334777832,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,4.761904716491699,0,0,75,0,0,0,0,0,21.052631378173828,0,33574961152,17179865088,4220637184,0
199,1743127234360,4451.401229858398,3000,1,1.125,292.7679138183594,3000,1,1.125,4392.302795410156,3750,0,1.125,855.3972625732422,3600,1,1.125,277.4636993408203,3600,1,1.125,7049.50910949707,3600,1,1.125,17668.672882080078,3129,3750,3750,3750,3271,3750,3749,3748,3209,3748,3118,3743,0,0,0,5,100,0,0,0,0,0,0,0,33574961152,17179865088,4220948480,0
