Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127355953,4552.6962890625,3600,1,1.075,309.83392333984375,3750,0,1.16875,4538.857269287109,3000,1,1.16875,892.9513397216797,3750,0,1.16875,295.89292907714844,3000,1,1.16875,7230.533004760742,3750,0,1.16875,20552.10220336914,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,3.3333334922790527,0,3.4482758045196533,3.5714287757873535,3.4482758045196533,6.6666669845581055,3.3333334922790527,3.5714287757873535,6.6666669845581055,3.4482758045196533,3.5714287757873535,3.4482758045196533,33574961152,17179865088,4228120576,0
199,1743127355953,4552.6962890625,3750,0,1.16875,309.8339538574219,3750,0,1.16875,4538.857284545898,3000,1,1.16875,892.9532928466797,3750,0,1.16875,295.8929443359375,3000,1,1.16875,7230.535827636719,3750,0,1.16875,20552.13346862793,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,3.3333334922790527,0,3.4482758045196533,3.5714287757873535,3.4482758045196533,6.6666669845581055,3.3333334922790527,3.5714287757873535,6.6666669845581055,3.4482758045196533,3.5714287757873535,3.4482758045196533,33574961152,17179865088,4228120576,0
196,1743127356157,4552.710372924805,3000,1,1.13125,309.8478698730469,3750,0,1.13125,4538.867050170898,3750,0,1.13125,893.0106811523438,3750,0,1.13125,295.90089416503906,3750,0,1.13125,7230.5848388671875,3750,0,1.13125,20556.455047607422,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,33574961152,17179865088,4228112384,0
199,1743127356353,4552.719299316406,3600,1,1.075,309.84812927246094,3600,1,1.075,4538.872589111328,3600,1,1.075,893.0520629882813,3000,1,1.075,295.90362548828125,3000,1,1.075,7230.626388549805,3750,0,1.075,20560.63690185547,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,33574961152,17179865088,4228042752,0
199,1743127356553,4552.8367919921875,3750,0,1.0875,309.965576171875,3000,1,1.0875,4538.987442016602,3000,1,1.0875,893.1663360595703,3750,0,1.0875,296.0029754638672,3000,1,1.0875,7230.744354248047,3000,1,1.0875,20565.27702331543,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,7.317072868347168,7.142857551574707,2.5,5,7.500000476837158,2.5641026496887207,0,2.5641026496887207,5,5,4.878048419952393,4.878048419952393,33574961152,17179865088,4239060992,0
199,1743127356753,4552.874008178711,3600,1,1.0875,310.0321807861328,3600,1,1.0875,4539.01286315918,3600,1,1.0875,893.2137756347656,3750,0,1.0875,296.05284118652344,3750,0,1.0875,7230.792709350586,3750,0,1.0875,20569.70506286621,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,5.263157844543457,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4233748480,0
199,1743127356954,4552.971923828125,3600,1,1.0875,310.14111328125,3600,1,1.0875,4539.203704833984,3600,1,1.0875,893.3305206298828,3000,1,1.0875,296.16197204589844,3000,1,1.0875,7230.882965087891,3750,0,1.0875,20574.607040405273,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,5,0,16.666667938232422,5.263157844543457,5,0,0,9.523809432983398,0,9.523809432983398,33574961152,17179865088,4245319680,0
199,1743127357154,4553.740753173828,3750,0,1.1625,310.21832275390625,3750,0,1.1625,4539.27473449707,3750,0,1.1625,893.4124908447266,3750,0,1.1625,296.2216033935547,3750,0,1.1625,7230.969818115234,3750,0,1.1625,20579.86865234375,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,4.761904716491699,0,5,0,4.761904716491699,76.19047546386719,0,0,0,33574961152,17179865088,4247375872,0
199,1743127357354,4554.7257080078125,3750,0,1.1375,310.26426696777344,3000,1,1.1375,4539.321044921875,3000,1,1.1375,893.4541931152344,3600,1,1.1375,296.24517822265625,3600,1,1.1375,7231.015350341797,3600,1,1.1375,20585.202560424805,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,0,100,0,0,0,33574961152,17179865088,4247375872,0
199,1743127357554,4555.6407470703125,3750,0,1.14375,310.31028747558594,3000,1,1.14375,4539.366668701172,3000,1,1.14375,893.4627075195313,3600,1,1.14375,296.2468566894531,3600,1,1.14375,7231.015960693359,3600,1,1.14375,20590.401977539063,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,0,100,0,0,0,33574961152,17179865088,4263546880,0
199,1743127357754,4556.6153564453125,3750,0,1.1375,310.36146545410156,3000,1,1.1375,4539.415237426758,3000,1,1.1375,893.4704132080078,3600,1,1.1375,296.2469024658203,3600,1,1.1375,7231.027114868164,3600,1,1.1375,20595.6866607666,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,4.761904716491699,0,0,0,4.761904716491699,0,0,0,100,0,0,0,33574961152,17179865088,4266655744,0
199,1743127357954,4557.533798217773,3750,0,1.15,310.41229248046875,3750,0,1.15,4539.464538574219,3750,0,1.15,893.4766693115234,3750,0,1.15,296.2470703125,3000,1,1.15,7231.043365478516,3725,1,1.15,20600.950469970703,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,0,100,0,0,0,33574961152,17179865088,4274565120,0
199,1743127358154,4558.486145019531,3750,0,1.15,310.4617462158203,3750,0,1.15,4539.523742675781,3750,0,1.15,893.4872436523438,3600,1,1.15,296.25157165527344,3600,1,1.15,7231.05061340332,3600,1,1.15,20606.232711791992,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,0,100,0,0,0,33574961152,17179865088,4295196672,0
199,1743127358354,4559.381744384766,3750,0,1.14375,310.50730895996094,3000,1,1.14375,4539.569137573242,3000,1,1.14375,893.4921722412109,3600,1,1.14375,296.2515869140625,3600,1,1.14375,7231.05729675293,3600,1,1.14375,20611.458221435547,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,4.761904716491699,100,0,0,0,33574961152,17179865088,4303568896,0
199,1743127358554,4560.249420166016,3750,0,1.1375,310.5446472167969,3000,1,1.1375,4539.578964233398,3000,1,1.1375,893.5016021728516,3000,1,1.1375,296.2516174316406,3000,1,1.1375,7231.059982299805,3750,0,1.1375,20616.643478393555,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,0,100,0,0,0,33574961152,17179865088,4305362944,0
199,1743127358754,4561.490020751953,4025,0,1.3375,310.5517272949219,3220.0000000000005,1,1.3375,4539.5882568359375,3220.0000000000005,1,1.3375,893.5154724121094,3750,1,1.3375,296.25732421875,3000,1,1.3375,7231.160232543945,3750,0,1.3375,20622.22853088379,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,10,95.23809814453125,0,0,0,33574961152,17179865088,4306845696,0
199,1743127358954,4562.790222167969,4050,0,1.35625,310.5687255859375,3240,1,1.3625,4539.608261108398,3240,1,1.3625,893.6144409179688,3750,0,1.3625,296.26568603515625,3000,1,1.3625,7231.441360473633,3750,0,1.3625,20628.432647705078,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,0,0,0,0,31.57894515991211,63.15789031982422,0,0,0,33574961152,17179865088,4306837504,0
199,1743127359154,4564.635925292969,4150,0,1.45,310.58436584472656,3320.0000000000005,1,1.45,4539.635208129883,3320.0000000000005,1,1.45,893.8983459472656,3750,0,1.45,296.27732849121094,3000,1,1.45,7231.764083862305,3750,0,1.45,20635.568756103516,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,5,0,14.285715103149414,0,10,80.95238494873047,0,0,0,33574961152,17179865088,4306579456,0
199,1743127359354,4566.37971496582,4150,0,1.4625000000000001,310.5989532470703,3300,1,1.4625000000000001,4539.643310546875,3300,1,1.4625000000000001,894.1458282470703,3750,0,1.4625000000000001,296.3024597167969,3000,1,1.4625000000000001,7232.253631591797,3750,0,1.4625000000000001,20642.768661499023,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,15.000000953674316,0,5,5,0,75,0,0,0,33574961152,17179865088,4307349504,0
199,1743127359554,4568.091781616211,4150,0,1.45625,310.613037109375,3300,1,1.45625,4539.662200927734,3300,1,1.45625,894.4477691650391,3750,0,1.45625,296.3196258544922,3750,0,1.45625,7232.740798950195,3750,0,1.45625,20650.01202392578,3219,3748,3749,3750,3196,3749,3744,3752,3212,3749,3019,3748,0,0,0,5.263157844543457,0,10,0,15.000000953674316,73.68421173095703,0,0,0,33574961152,17179865088,4308381696,0
