Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127187412,4436.748779296875,3000,1,1.0875,284.97889709472656,3000,1,1.0875,4312.436508178711,3750,0,1.0875,837.9541015625,3750,0,1.0875,269.5987243652344,3000,1,1.0875,6952.218948364258,3750,0,1.0875,16479.083282470703,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,6.060606002807617,0,3.22580623626709,6.25,9.090909004211426,3.22580623626709,3.22580623626709,3.125,3.125,6.25,3.125,6.25,33574961152,17179865088,4214218752,0
199,1743127187412,4436.751205444336,3750,0,1.16875,284.9795684814453,3750,0,1.16875,4312.438705444336,3750,0,1.16875,837.9546508789063,3750,0,1.16875,269.5987854003906,3750,0,1.16875,6952.218948364258,3750,0,1.16875,16479.083282470703,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,6.060606002807617,0,3.22580623626709,6.25,9.090909004211426,3.22580623626709,3.22580623626709,3.125,3.125,6.25,3.125,6.25,33574961152,17179865088,4214218752,0
200,1743127187613,4436.767120361328,3600,1,1.15625,284.98681640625,3600,1,1.15625,4312.493743896484,3600,1,1.15625,838.0062103271484,3600,1,1.15625,269.61724853515625,3000,1,1.075,6952.275161743164,3750,0,1.075,16483.408447265625,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,33574961152,17179865088,4214173696,0
199,1743127187813,4436.772186279297,3750,1,1.0875,284.98841857910156,3000,1,1.0875,4312.498947143555,3000,1,1.0875,838.0235137939453,3750,0,1.0875,269.6263885498047,3000,1,1.0875,6952.2862548828125,3000,1,1.0875,16486.85530090332,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4214165504,0
199,1743127188013,4436.882797241211,3750,0,1.16875,285.1130828857422,3750,0,1.16875,4312.632751464844,3750,0,1.16875,838.1501007080078,3750,0,1.16875,269.75355529785156,3750,0,1.16875,6952.405014038086,3750,0,1.16875,16491.552810668945,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,5,5,9.523809432983398,9.523809432983398,5.263157844543457,10,10,10,5.263157844543457,0,9.523809432983398,33574961152,17179865088,4233924608,0
199,1743127188213,4436.904037475586,3750,0,1.16875,285.13427734375,3000,1,1.16875,4312.700088500977,3750,0,1.16875,838.1963348388672,3000,1,1.16875,269.7997589111328,3750,0,1.16875,6952.455993652344,3750,0,1.16875,16495.92872619629,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,5,5,9.523809432983398,9.523809432983398,5.263157844543457,10,10,10,5.263157844543457,0,9.523809432983398,33574961152,17179865088,4233928704,0
199,1743127188413,4437.167831420898,3750,0,1.1625,285.24420166015625,3750,0,1.1625,4312.828872680664,3750,0,1.1625,838.3287353515625,3750,0,1.1625,269.91046142578125,3750,0,1.1625,6952.563461303711,3750,0,1.1625,16500.973602294922,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,5.128205299377441,7.142857551574707,2.5,2.5,2.5641026496887207,4.878048419952393,0,2.5,12.5,2.4390242099761963,4.878048419952393,0,33574961152,17179865088,4228136960,0
199,1743127188613,4437.22233581543,3600,1,1.16875,285.2923126220703,3600,1,1.16875,4312.875732421875,3600,1,1.16875,838.4015960693359,3000,1,1.16875,269.958740234375,3000,1,1.16875,6953.509567260742,3750,0,1.16875,16506.288452148438,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,0,0,0,0,95.23809814453125,0,0,0,5,33574961152,17179865088,4228321280,0
199,1743127188813,4437.239898681641,3600,1,1.15625,285.2957305908203,3600,1,1.15625,4312.875762939453,3600,1,1.15625,838.4489288330078,3750,0,1.15625,269.9884033203125,3000,1,1.15625,6954.438705444336,3750,0,1.15625,16511.417907714844,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,0,0,0,0,100,0,0,0,0,33574961152,17179865088,4228407296,0
199,1743127189013,4437.243698120117,3600,1,1.15625,285.2961120605469,3600,1,1.15625,4312.875793457031,3600,1,1.15625,838.4944305419922,3000,1,1.15625,269.9884796142578,3000,1,1.15625,6955.339691162109,3750,0,1.15625,16516.469451904297,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,0,0,0,0,100,0,0,0,0,33574961152,17179865088,4244410368,0
199,1743127189213,4437.247207641602,3600,1,1.15625,285.296142578125,3600,1,1.15625,4312.877624511719,3600,1,1.15625,838.5400543212891,3000,1,1.15625,269.98851013183594,3000,1,1.15625,6956.264785766602,3750,0,1.15625,16521.518142700195,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,0,0,0,0,100,0,0,0,0,33574961152,17179865088,4252639232,0
199,1743127189413,4437.251983642578,3000,1,1.1625,285.2962951660156,3750,0,1.1625,4312.878067016602,3750,0,1.1625,838.5896911621094,3750,0,1.1625,270.00469970703125,3750,0,1.1625,6957.193161010742,3750,0,1.1625,16526.63526916504,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,4.761904716491699,0,0,73.68421173095703,0,0,0,25,0,0,0,0,33574961152,17179865088,4256743424,0
199,1743127189613,4437.259552001953,3600,1,1.125,285.30213928222656,3600,1,1.125,4312.884216308594,3600,1,1.125,838.6397247314453,3750,0,1.125,270.00721740722656,3000,1,1.125,6958.105041503906,3750,0,1.125,16531.780563354492,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4256743424,0
199,1743127189813,4437.262481689453,3600,1,1.125,285.3021545410156,3600,1,1.125,4312.884246826172,3600,1,1.125,838.6868743896484,3750,0,1.15625,270.0135498046875,3000,1,1.15625,6958.984588623047,3750,0,1.15625,16536.883590698242,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,4.761904716491699,0,0,0,0,0,33574961152,17179865088,4260331520,0
199,1743127190014,4437.267974853516,3600,1,1.175,285.30274963378906,3600,1,1.175,4312.884475708008,3600,1,1.175,838.7355041503906,3060,1,1.175,270.0146942138672,3060,1,1.16875,6959.846603393555,3825,0,1.16875,16542.013717651367,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4262125568,0
199,1743127190214,4437.276107788086,3600,1,1.44375,285.3056182861328,3600,1,1.44375,4312.888412475586,3000,1,1.44375,838.8176879882813,3320.0000000000005,1,1.44375,270.01686096191406,3320.0000000000005,1,1.44375,6961.076019287109,4150,0,1.44375,16547.678100585938,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4276776960,0
199,1743127190414,4437.302047729492,3600,1,1.45,285.31541442871094,3600,1,1.45,4312.908660888672,3600,1,1.45,838.9743499755859,3320.0000000000005,1,1.45,270.04380798339844,3320.0000000000005,1,1.45,6963.275833129883,4150,0,1.45,16554.70066833496,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,4.761904716491699,0,0,95.23809814453125,0,0,0,0,4.761904716491699,0,0,0,33574961152,17179865088,4276776960,0
199,1743127190614,4437.31298828125,3600,1,1.46875,285.3215789794922,3600,1,1.46875,4312.913635253906,2980,1,1.46875,839.1196594238281,3320.0000000000005,1,1.46875,270.05577087402344,3320.0000000000005,1,1.46875,6965.481246948242,4150,0,1.46875,16561.561920166016,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4276871168,0
199,1743127190814,4437.332244873047,3600,1,1.45,285.33287048339844,2880,1,1.45,4312.939468383789,3000,1,1.45,839.2806091308594,3320.0000000000005,1,1.45,270.0922088623047,3320.0000000000005,1,1.45,6967.724822998047,4150,0,1.45,16568.682205200195,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,5,0,0,0,0,0,33574961152,17179865088,4276858880,0
199,1743127191014,4437.3487548828125,3750,1,1.46875,285.3410186767578,3000,1,1.46875,4312.967422485352,3000,1,1.46875,839.435791015625,3320.0000000000005,1,1.46875,270.1182861328125,3320.0000000000005,1,1.46875,6969.981781005859,4150,0,1.46875,16575.786193847656,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4277116928,0
199,1743127191214,4437.3638916015625,3600,1,1.46875,285.3539581298828,3000,1,1.46875,4312.980712890625,3000,1,1.46875,839.5878143310547,3320.0000000000005,1,1.46875,270.1264343261719,3320.0000000000005,1,1.46875,6972.235702514648,4150,0,1.46875,16582.808837890625,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,95.23809814453125,0,5,0,0,0,0,0,0,33574961152,17179865088,4277116928,0
199,1743127191414,4437.379577636719,3600,1,1.46875,285.36253356933594,3600,1,1.46875,4312.992401123047,3600,1,1.46875,839.7440032958984,3300,1,1.46875,270.1731414794922,3320.0000000000005,1,1.46875,6974.472732543945,4150,0,1.46875,16589.860107421875,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4277116928,0
199,1743127191614,4437.447311401367,3600,1,1.4625000000000001,285.41455078125,3600,1,1.4625000000000001,4313.045715332031,3600,1,1.4625000000000001,839.9408721923828,3360,1,1.4625000000000001,270.25086975097656,3320.0000000000005,1,1.4625000000000001,6976.179611206055,4175,0,1.4625000000000001,16596.997924804688,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,4.761904716491699,0,0,100,4.761904716491699,0,0,4.761904716491699,0,0,0,9.523809432983398,33574961152,17179865088,4278730752,0
199,1743127191814,4437.45832824707,3600,1,1.4625000000000001,285.41790771484375,3600,1,1.4625000000000001,4313.04899597168,3600,1,1.4625000000000001,840.0871276855469,3360,1,1.4625000000000001,270.26080322265625,3340,1,1.4625000000000001,6976.985107421875,4175,0,1.4625000000000001,16603.185943603516,550,3189,550,3692,3684,550,3381,550,3559,550,550,550,0,0,0,100,0,4.761904716491699,0,0,0,0,0,0,33574961152,17179865088,4278898688,0
