Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743127244486,4472.154739379883,3750,0,1.15,294.04490661621094,3750,0,1.15,4410.279479980469,3750,0,1.15,859.4168395996094,3750,0,1.15,279.81370544433594,3000,1,1.15,7053.812774658203,3750,0,1.15,17930.422119140625,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,6.45161247253418,3.22580623626709,6.25,6.45161247253418,3.22580623626709,3.22580623626709,3.22580623626709,3.22580623626709,6.45161247253418,6.45161247253418,0,3.3333334922790527,33574961152,17179865088,4233953280,0
199,1743127244486,4472.157501220703,3750,0,1.16875,294.04815673828125,3750,0,1.16875,4410.279541015625,3750,0,1.16875,859.4169158935547,3750,0,1.16875,279.81373596191406,3000,1,1.16875,7053.812835693359,3750,0,1.16875,17930.447219848633,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,6.45161247253418,3.22580623626709,6.25,6.45161247253418,3.22580623626709,3.22580623626709,3.22580623626709,3.22580623626709,6.45161247253418,6.45161247253418,0,3.3333334922790527,33574961152,17179865088,4233953280,0
200,1743127244686,4472.171905517578,3600,1,1.075,294.0598449707031,3600,1,1.075,4410.288665771484,3600,1,1.075,859.4459533691406,3600,1,1.075,279.82435607910156,3600,1,1.075,7053.820343017578,3600,1,1.075,17934.350875854492,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4227411968,0
199,1743127244887,4472.181625366211,3000,1,1.0875,294.0670471191406,3750,0,1.0875,4410.296600341797,3000,1,1.0875,859.4622955322266,3600,1,1.0875,279.8316650390625,3600,1,1.0875,7053.861557006836,3600,1,1.0875,17937.88458251953,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,0,0,4.761904716491699,0,5,0,0,0,0,33574961152,17179865088,4227411968,0
199,1743127245087,4472.28630065918,3750,0,1.0875,294.16221618652344,3750,0,1.0875,4410.411682128906,3750,0,1.0875,859.5629425048828,3000,1,1.0875,279.9277038574219,3750,0,1.0875,7053.972213745117,3000,1,1.0875,17942.593460083008,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,5.263157844543457,5,5,5,9.523809432983398,0,0,5,10,5,10,5.263157844543457,33574961152,17179865088,4229754880,0
199,1743127245287,4472.3590087890625,3750,0,1.075,294.16978454589844,3000,1,1.075,4410.426025390625,3000,1,1.075,859.6105804443359,3000,1,1.075,279.97698974609375,3750,0,1.075,7054.023406982422,3000,1,1.075,17946.939834594727,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,9.523809432983398,0,0,0,0,0,0,0,0,0,0,0,33574961152,17179865088,4230000640,0
199,1743127245487,4472.554443359375,3750,0,1.13125,294.2568359375,3750,0,1.13125,4410.547470092773,3000,1,1.13125,859.7852325439453,3750,0,1.13125,280.11790466308594,3750,0,1.13125,7054.259948730469,3750,0,1.13125,17952.013122558594,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,5,0,5,10,0,14.285715103149414,13.636363983154297,10,10,0,9.523809432983398,5,33574961152,17179865088,4242313216,0
199,1743127245687,4472.60124206543,3750,0,1.125,294.30029296875,3000,1,1.125,4410.5821533203125,3000,1,1.125,859.8327941894531,3000,1,1.125,280.1661682128906,3000,1,1.125,7055.226547241211,3750,0,1.125,17957.325637817383,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4242321408,0
199,1743127245887,4472.636184692383,3600,1,1.11875,294.3055877685547,3600,1,1.11875,4410.58268737793,3600,1,1.11875,859.8826751708984,3000,1,1.11875,280.21632385253906,3000,1,1.11875,7056.163650512695,3750,0,1.11875,17962.563064575195,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4246384640,0
199,1743127246087,4472.636337280273,3600,1,1.125,294.3060302734375,3600,1,1.125,4410.58479309082,3600,1,1.125,859.9311218261719,3000,1,1.125,280.26341247558594,3000,1,1.125,7057.077178955078,3750,0,1.125,17967.763549804688,2971,3292,3749,3750,3748,3622,3747,3748,3000,3637,3749,3057,0,0,0,100,0,0,0,0,0,0,0,0,33574961152,17179865088,4264169472,0
